 100.0     0.00    0.4065E+11    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
objects with more than   20 particles found at linking lenght 0.20000	#
      #      x     y    z h^-1 Mpc         velocity[km/s]      lkl   mass h^-1 M_s  sigma  sigma_v  r_sph  delta  spin p.	WebID
    1073   57.1080  83.4888  72.4098  -246.1   315.2  -324.4      109  0.4430E+13  0.1845   246.2  0.3111   408.8      0.5697E-01	1
    1074   53.7452  94.2232  76.4913   -25.8   334.4   -88.1      109  0.4430E+13  0.2216   233.0  0.3260   355.2      0.1019    	2
    1075   72.1275  35.2440  18.5899  -281.0  -237.5   -52.7      109  0.4430E+13  0.2461   214.0  0.3437   303.0      0.5925E-01	3
    1076    0.7853  70.2694  64.0991    98.9   217.7    39.0      109  0.4430E+13  0.1863   273.2  0.3086   419.0      0.3669E-01	0
    1077   16.1823  91.9781  96.8906    77.3    60.7    -5.2      109  0.4430E+13  0.1667   280.2  0.3036   440.2      0.8715E-01	2
    1078    4.9410  31.3451  37.4387   260.2  -388.9   -81.2      109  0.4430E+13  0.2147   241.2  0.3268   352.7      0.2249E-01	0
    1079   28.7079  44.0998  25.5327   473.2  -372.5    59.2      109  0.4430E+13  0.1786   269.9  0.3084   419.8      0.5478E-01	2
    1080   93.5619  52.7048  25.8054    82.0   -33.1  -262.4      109  0.4430E+13  0.2490   221.6  0.3328   333.9      0.4826E-01	1
    1081   61.9155  27.6107  36.5897  -432.1  -150.2    36.8      108  0.4390E+13  0.1995   224.5  0.3230   361.9      0.2308E-01	3
    1082   75.2882   2.8121  14.4254   261.4   125.4  -125.1      108  0.4390E+13  0.2316   226.1  0.3219   365.5      0.3464E-01	1
    1083   69.5782  42.4838   8.9044    22.9  -412.4    72.1      108  0.4390E+13  0.1745   257.2  0.3108   406.4      0.1304E-01	1
    1084   17.8422  69.1343  80.2017   120.4    91.9   200.7      108  0.4390E+13  0.1854   259.7  0.3190   375.7      0.3564E-01	1
    1085   47.9798  18.8047  85.6199  -458.0  -141.7   372.8      108  0.4390E+13  0.2215   238.2  0.3306   337.4      0.1041    	3
    1086    0.1175  26.3272  50.9469   167.3  -541.7  -231.9      108  0.4390E+13  0.2539   227.9  0.3401   310.0      0.9477E-01	2
    1087   74.9355  68.7840  73.4295  -122.2    13.6    96.6      107  0.4349E+13  0.2094   228.9  0.3366   316.9      0.8296E-02	2
    1088   79.9782   5.7412  92.4655  -324.8   219.5   418.8      107  0.4349E+13  0.1957   258.4  0.3191   371.9      0.6168E-01	2
    1089   84.1673   0.6299  58.4012   -94.2   132.1  -146.0      107  0.4349E+13  0.1999   240.7  0.3268   346.3      0.5475E-01	1
    1090   40.9966  24.6894  34.8136   273.1    57.0   -82.7      107  0.4349E+13  0.2091   230.0  0.3159   383.4      0.4557E-01	2
    1091   37.8920   5.4533  16.0997   232.6   346.0    14.3      107  0.4349E+13  0.2620   283.0  0.3307   333.9      0.1386    	1
    1092   44.1280   1.6939  44.8125   183.6   687.0    23.2      107  0.4349E+13  0.2196   284.2  0.3303   335.2      0.1038    	2
    1093   91.2891  59.3576  39.2304    98.9    78.9  -147.3      107  0.4349E+13  0.2195   243.7  0.3223   360.9      0.1989E-01	0
    1094   37.5890   1.4016  21.1951    -5.6   206.6     0.1      107  0.4349E+13  0.2628   238.0  0.3460   291.6      0.1003    	2
    1095    6.8754  72.8329  46.7825   184.8   291.1  -162.8      107  0.4349E+13  0.2061   243.0  0.3122   397.1      0.2874E-01	1
    1096   58.5313  99.3194  81.9785    39.0   507.3  -137.9      106  0.4308E+13  0.2287   237.2  0.3210   361.8      0.4680E-01	1
    1097   89.1590   2.9937  44.7548   -48.4   369.1  -467.6      106  0.4308E+13  0.2116   239.2  0.3358   316.1      0.6968E-01	2
    1098   53.3356  25.2064  43.9932  -162.8  -101.3  -203.6      106  0.4308E+13  0.2093   236.3  0.3209   362.3      0.1477E-01	2
    1099   56.7379  59.1293  47.0832  -105.0  -189.7  -175.6      106  0.4308E+13  0.1513   277.6  0.2867   508.4      0.7715E-01	2
    1100   88.3313  68.0408  11.0164   110.7   181.7  -298.1      106  0.4308E+13  0.2287   422.6  0.3186   370.2      0.6644    	2
    1101   81.4020  34.1052  78.4959  -258.8  -185.4   -23.3      106  0.4308E+13  0.1772   256.2  0.3135   388.4      0.1382E-01	2
    1102    5.3370  65.8755  89.3199   243.4   -18.3   142.2      106  0.4308E+13  0.2043   230.0  0.3278   339.7      0.4283E-01	0
    1103   30.9205  99.8202  81.7479    13.2   403.0    83.2      106  0.4308E+13  0.1775   245.3  0.3084   408.3      0.1715E-01	2
    1104   41.4237  89.4075  49.3035     8.5   147.8   159.1      106  0.4308E+13  0.2429   236.6  0.3350   318.3      0.1611    	3
    1105   39.1372  20.3468  93.7010  -221.4   178.9  -507.4      106  0.4308E+13  0.2002   235.9  0.3148   383.9      0.4228E-01	2
    1106   27.0721  74.6729  37.8587    34.9    94.5   -69.1      106  0.4308E+13  0.2048   237.4  0.3359   315.8      0.3337E-01	1
    1107   63.3123  36.5625  91.0226    -7.0  -380.5  -197.4      105  0.4268E+13  0.1810   250.9  0.3121   390.2      0.5913E-01	1
    1108   66.3147  29.0173  26.6552  -293.4  -145.6   -68.9      105  0.4268E+13  0.1928   240.1  0.3191   365.0      0.2388E-01	2
    1109   83.8264  29.2318  20.1093    25.2  -352.8  -303.4      105  0.4268E+13  0.1867   252.2  0.3070   409.8      0.5624E-01	1
    1110   72.6270  25.9267  20.8908  -145.9  -241.0  -199.6      105  0.4268E+13  0.2407   254.3  0.3423   295.5      0.1132    	2
    1111   63.4068  82.2195  14.6451    16.4   266.9   -97.3      105  0.4268E+13  0.2100   244.1  0.3086   403.4      0.5022E-01	1
    1112   29.4945  93.3237  83.0898    26.2   247.9    23.2      105  0.4268E+13  0.1972   249.5  0.3096   399.6      0.1252    	2
    1113   31.0304  19.8575   2.1163    33.3   403.0   119.9      105  0.4268E+13  0.2074   256.2  0.3255   343.7      0.5099E-01	2
    1114    2.0762  53.2811  75.0061   117.0   -64.5   286.0      105  0.4268E+13  0.2143   220.2  0.3090   401.9      0.6405E-01	1
    1115   38.7423  54.3940  27.9824   193.2  -458.3  -266.6      105  0.4268E+13  0.2282   226.6  0.3276   337.3      0.9924E-01	2
    1116   57.8941  92.8172  56.4171  -114.9   281.4   234.5      104  0.4227E+13  0.3063   209.6  0.3849   205.6      0.8431E-01	2
    1117   73.1917  89.3550  63.7493  -178.7   417.4  -183.0      104  0.4227E+13  0.2232   241.5  0.3137   380.6      0.9002E-01	1
    1118   50.8462  28.5590  39.3641    98.6  -301.0  -147.7      104  0.4227E+13  0.2113   256.8  0.3278   333.5      0.1503    	2
    1119   25.0549  62.6225  90.7988  -228.6   135.8   193.5      104  0.4227E+13  0.2203   247.0  0.3117   388.1      0.1294    	3
    1120   47.7084  30.3674  71.9127    46.0  -439.2   240.1      104  0.4227E+13  0.1996   242.7  0.3255   340.5      0.4896E-01	0
    1121   46.1134  65.0068  26.7615  -202.3     0.1   244.4      104  0.4227E+13  0.2252   246.0  0.3332   317.3      0.9128E-01	3
    1122   41.9982  50.9117  45.0987    16.6  -186.2  -459.1      104  0.4227E+13  0.1820   254.3  0.3112   389.9      0.1751E-01	2
    1123   57.9688  11.7841  70.9068   -34.2    99.7  -272.8      103  0.4187E+13  0.2188   241.4  0.3331   314.6      0.8913E-01	2
    1124   90.8994   4.7208  84.9734     3.0    14.6   363.0      103  0.4187E+13  0.2357   211.2  0.3286   327.8      0.7466E-01	1
    1125   93.2634  91.8612   5.0282   327.7   583.7   238.9      103  0.4187E+13  0.1813   252.8  0.2903   476.0      0.1946E-01	1
    1126   62.4583  10.5537   0.2837   228.7   579.6  -248.1      103  0.4187E+13  0.1865   236.5  0.3126   381.0      0.6049E-01	2
    1127   21.7944  21.0106  10.5483   429.5  -176.9   -58.4      103  0.4187E+13  0.2142   237.9  0.3274   331.4      0.5641E-01	1
    1128    5.5657  38.5169  45.3438    70.9  -348.7  -194.4      103  0.4187E+13  0.2076   243.1  0.3179   362.1      0.9693E-01	1
    1129   90.9651  94.2983  28.7702   306.0   654.7    25.2      103  0.4187E+13  0.2531   212.9  0.3545   260.9      0.9790E-01	2
    1130   94.0015  74.4840  29.0292   -44.0   172.3  -162.2      103  0.4187E+13  0.2384   198.5  0.3253   337.8      0.1064    	2
    1131   61.7954  43.1154  28.3331  -179.6  -316.3  -106.5      103  0.4187E+13  0.1999   250.3  0.3148   372.8      0.3947E-01	0
    1132   92.3191  46.8755  13.5096   222.1   -65.4  -233.1      102  0.4146E+13  0.2341   237.1  0.3415   289.1      0.1668    	2
    1133   38.2049   4.7378  15.4682   122.7   214.2    13.5      102  0.4146E+13  0.2538   229.3  0.3495   269.5      0.4142E-01	2
    1134   32.7192   0.8599  85.1158    -6.2   399.6  -191.6      102  0.4146E+13  0.1624   279.2  0.3091   390.2      0.2719E-01	2
    1135   34.7326  51.8087  13.2881  -135.8  -245.7   -42.7      102  0.4146E+13  0.1693   257.2  0.3032   413.5      0.2382E-01	1
    1136   37.1069  11.3851   0.2076   -16.5   438.9   -85.7      102  0.4146E+13  0.1828   231.5  0.2993   429.8      0.1756E-01	1
    1137    8.4559  83.8193  33.8853    45.6   349.9   -55.3      102  0.4146E+13  0.1962   244.3  0.3139   372.3      0.1033E-01	1
    1138   39.4290  93.0663  43.2811    30.1   420.4   220.9      102  0.4146E+13  0.1991   246.4  0.3062   401.2      0.1191E-01	1
    1139   63.2187  22.7723  57.8511  -218.5   -54.1   -64.0      101  0.4105E+13  0.1918   265.8  0.3060   398.1      0.4645E-01	3
    1140   76.6586  62.7707  74.0815   -46.0   -65.9    98.8      101  0.4105E+13  0.2158   212.2  0.3345   304.6      0.2758E-01	1
    1141   87.0476   1.9982   1.2514   336.4    57.9   -81.1      101  0.4105E+13  0.1904   298.6  0.2989   427.5      0.9984E-01	2
    1142   81.1378  51.4778  19.0959   100.8  -156.1  -298.8      101  0.4105E+13  0.2285   232.2  0.3240   335.3      0.9655E-01	1
    1143   34.8236  65.0338  94.3302  -237.2    21.9    71.2      101  0.4105E+13  0.2080   226.9  0.3136   369.9      0.2736E-01	1
    1144   99.4960  90.7940   0.9485   109.2   616.3   400.6      101  0.4105E+13  0.1645   279.5  0.2990   427.1      0.1196E-01	2
    1145   28.6708   6.3921  81.4660    79.3   571.6   -39.0      101  0.4105E+13  0.2325   235.7  0.3325   310.1      0.1154    	2
    1146   28.7620  40.9717  93.8993    27.6  -311.4   234.6      101  0.4105E+13  0.2110   224.0  0.3438   280.5      0.6176E-01	1
    1147   24.1247  45.8838  31.8559   375.7  -288.2  -175.7      101  0.4105E+13  0.2081   280.7  0.3022   413.6      0.1022    	2
    1148   95.7512  49.4114  96.0220     3.3  -133.7    84.6      100  0.4065E+13  0.2243   237.4  0.3247   329.7      0.6614E-01	2
    1149   56.2067  26.5667  48.4627  -146.4  -373.8   -63.2      100  0.4065E+13  0.2101   227.2  0.3222   337.4      0.8183E-01	2
    1150   82.7771   9.2490  46.3667    21.9  -276.8  -150.4      100  0.4065E+13  0.1972   243.9  0.3149   361.8      0.2071E-01	1
    1151   76.9421  10.7659  90.0203  -451.1  -148.1   628.8      100  0.4065E+13  0.2096   245.8  0.3129   368.6      0.8167E-01	3
    1152   82.5546  34.0680  73.5095  -378.7  -286.4   131.7      100  0.4065E+13  0.2406   237.0  0.3278   320.6      0.3418E-01	2
    1153   40.9774  30.8057  30.7954    15.4    28.4   -93.4      100  0.4065E+13  0.2075   248.6  0.3016   411.8      0.7603E-01	2
    1154    1.0038   6.6447  17.7874  -124.1   -71.7  -247.9      100  0.4065E+13  0.1655   242.4  0.2973   430.0      0.5925E-01	2
    1155   34.7562  13.6641  74.1487   -24.3   308.1   259.4      100  0.4065E+13  0.1753   253.9  0.3032   405.5      0.7953E-01	2
    1156   44.0789  45.9981  73.6004   -20.4  -219.2   239.1      100  0.4065E+13  0.1882   235.2  0.3172   353.8      0.1203E-01	0
    1157   24.7868  12.5913  86.9878   611.7   288.6   -31.8      100  0.4065E+13  0.2501   257.0  0.3408   285.1      0.1938    	2
    1158   84.1045  25.1149  64.2154  -285.6  -232.1   234.9       99  0.4024E+13  0.2793   228.2  0.3492   262.2      0.2849E-01	3
    1159   57.8955  10.4655  28.8389  -363.8   182.0   146.0       99  0.4024E+13  0.1798   242.5  0.3058   391.1      0.3022E-01	3
    1160   94.5111  94.7862  10.3443   263.9   572.3   -40.5       99  0.4024E+13  0.2259   213.8  0.3295   312.5      0.1200    	2
    1161   27.4260  74.3764  82.6694   136.8   145.1   152.5       99  0.4024E+13  0.1723   243.7  0.3034   400.6      0.4436E-01	1
    1162   23.7462  36.7498  38.7627   515.8  -283.6  -388.2       99  0.4024E+13  0.2015   249.4  0.3243   327.8      0.5263E-01	1
    1163   12.5113  66.4091   7.6681    26.5    52.6  -205.3       99  0.4024E+13  0.1823   253.3  0.3119   368.5      0.3291E-01	2
    1164   68.8623  92.6708  35.8770   290.7   389.3   -10.7       99  0.4024E+13  0.1994   242.1  0.3160   354.2      0.4254E-01	2
    1165    7.9419  83.8698  70.5559   355.9   602.7   -25.1       99  0.4024E+13  0.1799   282.2  0.3034   400.6      0.6870E-01	2
    1166    2.0090  90.6368  73.4503   154.0   216.9   132.1       99  0.4024E+13  0.1922   251.9  0.3086   380.4      0.1261    	2
    1167   28.2743  10.3598  81.5291  -313.0   793.1   110.4       99  0.4024E+13  0.2396   263.6  0.3308   308.9      0.2786    	3
    1168   75.8273  47.7400  51.3697  -137.0  -296.1   128.7       98  0.3983E+13  0.2604   208.8  0.3289   310.9      0.6175E-01	1
    1169   92.9110  73.9876  57.6256    68.3   322.8  -107.6       98  0.3983E+13  0.1989   245.4  0.3261   319.2      0.3554E-01	1
    1170   53.3619   9.9917  71.8112   187.0   249.4  -246.3       98  0.3983E+13  0.2646   222.7  0.3325   301.0      0.1212    	2
    1171   83.9276  21.9095  59.7399   -13.4   -77.1   251.2       98  0.3983E+13  0.1905   240.2  0.3078   379.4      0.4861E-01	1
    1172   92.0325  48.7783  13.7128   225.4     3.6  -202.5       98  0.3983E+13  0.1990   234.8  0.3162   350.2      0.2904E-01	2
    1173   25.9405  15.2504  62.7441    28.8  -481.8   148.7       98  0.3983E+13  0.1817   244.9  0.3145   355.7      0.2553E-01	3
    1174   35.4758  95.0556  21.3828   -51.8   472.5    52.2       98  0.3983E+13  0.1888   247.3  0.3191   340.7      0.5806E-01	2
    1175   24.4840  88.5873  18.7408    33.0   286.7   -88.9       98  0.3983E+13  0.1492   299.9  0.2866   470.6      0.4937E-01	1
    1176   27.6391  89.2746  65.5152     3.0   125.7  -164.8       98  0.3983E+13  0.1714   250.4  0.2920   444.7      0.3821E-01	2
    1177   32.1865   2.5471  82.5601   -99.3   386.6   -35.9       98  0.3983E+13  0.1966   246.4  0.3156   351.9      0.3092E-01	2
    1178   38.2959  51.2643  42.7377    15.4  -155.7  -460.2       98  0.3983E+13  0.2030   225.4  0.3034   396.5      0.5542E-01	2
    1179   98.5197  48.1494  87.6914    40.0   -94.3   -29.3       97  0.3943E+13  0.2665   273.0  0.3348   291.6      0.3363    	2
    1180   53.2846  66.4236   0.0178  -188.6   -22.5   -83.2       97  0.3943E+13  0.2619   227.9  0.3216   329.4      0.3653E-01	0
    1181   95.0070   4.4293  97.3544   -22.3   -43.4   332.2       97  0.3943E+13  0.1906   240.6  0.3204   333.1      0.3642E-01	2
    1182   88.7331  23.5617  24.2046   160.1  -285.2  -396.2       97  0.3943E+13  0.3146   190.2  0.3456   265.1      0.1237    	1
    1183    6.8781  50.3172  85.7486  -130.9  -136.6    69.2       97  0.3943E+13  0.2138   229.4  0.3177   341.6      0.4017E-01	3
    1184    5.5765  11.4412  29.1160    47.8   -32.9  -160.1       97  0.3943E+13  0.2200   227.3  0.3251   318.7      0.7164E-01	1
    1185   35.1471  17.4498  85.7869   548.0    86.7   399.9       97  0.3943E+13  0.2487   335.9  0.3517   251.6      0.1401    	2
    1186   29.6072  40.9084  97.4887   127.9  -251.1   265.1       97  0.3943E+13  0.2142   219.5  0.3253   318.1      0.6300E-01	1
    1187   25.9606  76.7050  38.5985    22.4    91.7   -98.3       97  0.3943E+13  0.2518   221.0  0.3194   336.1      0.6067E-01	1
    1188   87.3741  80.9624  48.4885    13.8   320.7  -138.7       96  0.3902E+13  0.2594   190.9  0.3349   288.4      0.4335E-01	1
    1189   83.4399  15.1547  59.4741   -28.6    86.1  -231.9       96  0.3902E+13  0.1772   254.3  0.3118   357.8      0.4674E-01	1
    1190   68.2623   5.6853  43.7443  -103.2   158.3   207.4       96  0.3902E+13  0.2211   217.6  0.3306   299.9      0.3516E-01	3
    1191   62.2505  36.1980  85.1781   -44.7  -115.9     8.5       96  0.3902E+13  0.1567   278.2  0.2881   453.6      0.6243E-01	3
    1192   59.4531  85.0803   8.9041    20.8   269.9  -214.3       96  0.3902E+13  0.1947   241.5  0.3064   376.8      0.3312E-01	2
    1193   89.6961  84.0906   5.9506   220.2   332.2   409.5       96  0.3902E+13  0.1967   232.4  0.3134   352.1      0.6138E-01	1
    1194   46.0329  47.1544  77.3867   -67.0  -160.2    68.8       96  0.3902E+13  0.2655   204.8  0.3353   287.5      0.8048E-01	2
    1195   30.7231  25.2826  82.2024   362.3  -669.2   317.8       96  0.3902E+13  0.2078   241.6  0.3010   397.6      0.6901E-01	2
    1196   53.5630  11.1284  47.1296   205.1  -525.3    -7.9       95  0.3861E+13  0.1913   247.8  0.3054   376.7      0.6635E-01	3
    1197   89.2395  49.2047  14.5558   330.4   -44.4  -306.8       95  0.3861E+13  0.1731   266.7  0.3060   374.7      0.1578    	1
    1198   21.2456  32.4349  33.0751   129.6  -291.2  -236.2       95  0.3861E+13  0.1833   246.0  0.3133   349.0      0.7290E-01	2
    1199   31.9399  34.3546   2.3863   208.4  -360.6   155.0       95  0.3861E+13  0.1659   238.1  0.2930   426.9      0.6150E-01	2
    1200   16.8291  14.0247  59.1192   329.6   -86.3  -269.8       95  0.3861E+13  0.2380   213.3  0.3335   289.0      0.7373E-01	2
    1201   26.2448  13.2713  67.7311   201.4   -21.6   -88.9       95  0.3861E+13  0.2309   252.2  0.3168   337.4      0.2169    	2
    1202   36.5653  90.9792  20.1657  -128.0   328.6    -3.0       95  0.3861E+13  0.2091   221.8  0.3155   341.7      0.6601E-01	2
    1203   95.0696  63.0233  24.8141   -72.1   110.8    93.6       95  0.3861E+13  0.2192   229.2  0.3173   335.9      0.1206    	2
    1204   35.8349  79.2472  73.3905  -116.6   527.4   270.2       95  0.3861E+13  0.2238   209.8  0.3335   289.0      0.8678E-01	2
    1205   31.8896  14.4912  80.3135   115.1   229.0   694.3       95  0.3861E+13  0.1620   246.7  0.2809   484.3      0.2463E-01	3
    1206   35.0401  18.5232  84.1372   -27.8  -533.3   816.9       95  0.3861E+13  0.1729   257.1  0.2905   437.7      0.5278E-01	2
    1207   58.2975  91.1668  58.3792  -137.3    15.1   -52.3       94  0.3821E+13  0.2478   205.2  0.3119   349.7      0.5018E-01	2
    1208   63.3154   1.3442  59.3979  -237.7   461.4   -95.5       94  0.3821E+13  0.2177   227.8  0.3177   331.1      0.7365E-01	2
    1209   50.7376  42.1726  90.7500    32.8  -354.3    58.5       94  0.3821E+13  0.2551   212.3  0.3201   323.6      0.1215    	1
    1210   96.6631  84.7043  86.1863   156.1   352.4   138.4       94  0.3821E+13  0.2069   221.3  0.3228   315.4      0.2264E-01	0
    1211   73.8191  35.6033  82.9283  -146.1  -184.0    14.8       94  0.3821E+13  0.1962   229.1  0.3128   346.9      0.4385E-01	1
    1212   73.6584   6.0623  92.2075    38.3   636.7   201.2       94  0.3821E+13  0.1673   229.4  0.3053   373.2      0.3570E-01	2
    1213   95.7347  18.0012  17.0941    36.5  -381.3    89.4       94  0.3821E+13  0.3009   208.3  0.3181   329.8      0.1175    	2
    1214   87.9586  64.2570   8.6328   -54.3  -404.7   374.1       94  0.3821E+13  0.2330   291.5  0.3152   338.8      0.1472    	2
    1215   86.0353  52.2730  15.2895   270.1  -232.4  -204.3       94  0.3821E+13  0.2085   211.1  0.3236   313.1      0.2642E-01	1
    1216    3.7984  43.3394  93.4893    52.6    13.5   118.9       94  0.3821E+13  0.2028   209.9  0.3268   304.0      0.4785E-01	1
    1217   32.0326  94.9090  82.2152  -104.3   280.8   -41.1       94  0.3821E+13  0.2675   225.4  0.3131   345.9      0.1248    	2
    1218   28.2110  52.2452  97.7137    53.2  -218.9   138.4       94  0.3821E+13  0.2426   218.6  0.3148   340.4      0.7714E-01	2
    1219   14.4845  14.0646  59.9158   299.7   -60.0  -244.2       94  0.3821E+13  0.1856   245.5  0.3145   341.3      0.5504E-01	2
    1220   41.9381  27.1404  59.9023    36.5  -400.6   -83.3       94  0.3821E+13  0.1724   253.9  0.2844   461.9      0.3767E-01	1
    1221   44.7400  21.0827  47.2525    80.7  -318.7  -425.1       94  0.3821E+13  0.1923   279.9  0.3079   363.5      0.2333    	2
    1222   29.3485  42.6558  81.4735  -207.6  -199.3   284.9       94  0.3821E+13  0.2333   206.3  0.3231   314.5      0.3129E-01	3
    1223   65.3274  88.4937  44.7790    36.2   457.7   133.3       94  0.3821E+13  0.2111   228.7  0.3112   352.3      0.4949E-01	1
    1224   44.2200  82.1120  59.7197    65.5   422.5     5.9       94  0.3821E+13  0.1569   262.4  0.2799   484.3      0.3049E-01	1
    1225   39.4089  86.4673  66.8874  -104.5   238.1   109.6       94  0.3821E+13  0.1957   217.7  0.3128   346.7      0.3031E-01	2
    1226    7.1838  95.7111  72.2489   143.7    26.8   -28.0       94  0.3821E+13  0.1854   243.1  0.3056   371.9      0.4486E-01	2
    1227    9.9912  81.0792  78.0058   184.1   274.1   -29.4       94  0.3821E+13  0.2106   215.3  0.3106   354.3      0.5190E-01	1
    1228   54.3433  19.0469  55.7592    96.0  -407.1   -30.7       93  0.3780E+13  0.2139   210.6  0.3169   330.0      0.1883E-01	2
    1229   56.5848   4.8191  51.0312   139.7   351.4   400.2       93  0.3780E+13  0.1840   283.2  0.2898   431.9      0.5051E-01	2
    1230   66.1882   6.4323  35.2635   -71.6   153.4   292.6       93  0.3780E+13  0.1899   233.8  0.2946   411.0      0.4046E-01	1
    1231   86.2774  35.2062  74.5929  -351.4  -295.6   212.5       93  0.3780E+13  0.2479   190.3  0.3355   278.0      0.3304E-01	2
    1232   31.9091  80.9507  96.3750  -442.3    56.1    20.7       93  0.3780E+13  0.2146   225.5  0.3183   325.7      0.3023E-01	2
    1233   35.0947  90.6418  58.9742    10.9   361.5    84.4       93  0.3780E+13  0.2003   210.1  0.3239   309.0      0.2023E-01	2
    1234   39.7489  72.8732  73.2157  -163.8   315.2    46.2       93  0.3780E+13  0.1966   227.1  0.3066   364.5      0.5139E-01	1
    1235   69.4037  30.5082  72.5772   -67.9  -307.6     0.5       92  0.3739E+13  0.2089   215.3  0.3156   330.3      0.2351E-01	2
    1236   64.3010  84.8388  91.7288   -45.3   309.0    28.4       92  0.3739E+13  0.1823   241.3  0.2863   442.9      0.4474E-01	1
    1237   54.3530  73.7114   3.1521   -39.4   107.0   -37.4       92  0.3739E+13  0.2776   186.8  0.3386   267.4      0.8652E-01	1
    1238   98.9489  79.2113   3.6723   101.6   322.0   225.7       92  0.3739E+13  0.1779   237.3  0.3023   376.1      0.3657E-01	1
    1239   49.4603  98.1500  58.8114   161.1   478.7   -19.3       92  0.3739E+13  0.1806   248.8  0.2877   436.4      0.6711E-01	2
    1240   44.7460  32.3912  24.5837  -229.8  -237.4   -91.3       92  0.3739E+13  0.1850   251.0  0.2841   453.5      0.3446E-01	2
    1241   29.7924  22.1812   8.0440   702.2  -407.0   473.8       92  0.3739E+13  0.1956   234.8  0.3059   363.1      0.3366E-01	2
    1242    4.7694   6.9710   0.8204   -88.6   377.1   258.3       92  0.3739E+13  0.1973   226.2  0.3074   357.6      0.2493E-01	2
    1243    0.5080  10.4638  49.2067   307.4   232.1  -247.3       92  0.3739E+13  0.2106   260.7  0.3084   354.2      0.1066    	2
    1244   34.1373  78.6462  17.9380    25.7    26.1   -40.5       92  0.3739E+13  0.2594   221.6  0.3215   312.7      0.1486E-01	1
    1245   98.9960  43.1089  25.3371   210.4  -161.5  -383.3       92  0.3739E+13  0.2762   203.3  0.3141   335.2      0.5091E-01	2
    1246   53.5067  63.0680  26.8404  -372.8  -140.0   124.0       92  0.3739E+13  0.1400   264.0  0.2739   506.1      0.2828E-01	2
    1247   19.4338  79.8189  47.7530   -56.0   302.9     6.7       92  0.3739E+13  0.2119   205.0  0.3101   348.5      0.2802E-01	2
    1248   58.1102  82.1720  51.4253   -88.3   332.2   335.9       91  0.3699E+13  0.2441   206.1  0.3327   278.7      0.6564E-01	1
    1249   77.0435  82.6875  47.3465    77.3   345.1  -132.8       91  0.3699E+13  0.2493   226.7  0.3243   301.3      0.7578E-01	2
    1250   52.4266  50.9648  94.0822   -81.2  -193.3   -80.1       91  0.3699E+13  0.2058   237.0  0.3136   333.3      0.1026    	1
    1251   85.6994  26.0967  92.3630  -193.2  -265.3    48.4       91  0.3699E+13  0.1985   239.6  0.2991   384.0      0.4627E-02	1
    1252   68.2877   8.0111  93.0702   268.1   629.7   -64.9       91  0.3699E+13  0.2196   224.9  0.3120   338.5      0.3090E-01	2
    1253   95.0726   3.7623  92.5127   -63.7   302.4   485.1       91  0.3699E+13  0.2841   232.2  0.3420   256.7      0.1666    	2
    1254   83.0193   1.1896  14.1300   338.3    84.4  -127.2       91  0.3699E+13  0.1406   315.3  0.2523   640.6      0.7589E-01	1
    1255   31.5299  24.6567  14.2012   616.3    45.4  -314.3       91  0.3699E+13  0.1839   243.2  0.3049   362.5      0.3066E-01	2
    1256   35.2425  21.4254  93.2210   135.4  -596.6  -381.1       91  0.3699E+13  0.3829   306.4  0.3676   206.5      0.8545    	2
    1257   12.8518   0.1716  12.4850  -215.2   431.5    -9.9       91  0.3699E+13  0.2028   234.6  0.3133   334.2      0.9472E-01	2
    1258   21.0398   4.6076  52.6218   -11.0  -290.6    67.3       91  0.3699E+13  0.1922   245.0  0.3080   351.7      0.2971E-01	2
    1259   25.9940  13.4922  66.8510   450.1   -99.6  -102.6       91  0.3699E+13  0.1890   273.7  0.2971   392.0      0.7579E-01	2
    1260   22.6111  98.2457  56.7971   196.8  -107.7   -37.8       91  0.3699E+13  0.2685   268.1  0.3458   248.2      0.1014    	2
    1261   63.3532  57.0530  21.0454   -83.9  -210.0   103.3       91  0.3699E+13  0.1796   231.4  0.3004   379.2      0.2877E-01	1
    1262   70.1443  90.1953  35.5603   133.1   602.4    11.8       91  0.3699E+13  0.2442   223.8  0.2995   382.5      0.1935    	3
    1263    6.8204  86.3463  99.6396   -69.4   386.1   120.7       91  0.3699E+13  0.1955   227.9  0.3116   339.5      0.3473E-01	2
    1264   29.3685  89.1087  62.4011   -89.8   409.9    19.5       91  0.3699E+13  0.2059   217.1  0.3114   340.4      0.4307E-01	2
    1265   29.3811  35.0735  94.9551   128.6  -236.0    63.7       91  0.3699E+13  0.1713   261.9  0.2884   428.8      0.6377E-01	2
    1266   57.6464  12.0555  76.0042    -9.6   155.1   117.6       90  0.3658E+13  0.2034   233.3  0.3064   353.3      0.6506E-01	2
    1267   87.1295  90.1260  73.7270   117.8   367.2   -66.6       90  0.3658E+13  0.1684   247.1  0.2855   437.0      0.1750E-01	1
    1268   93.5659  89.4297  73.7578   172.8   203.3   -29.9       90  0.3658E+13  0.1779   243.5  0.2988   381.2      0.1399    	2
    1269   51.2568  90.1801  79.5924    21.0   287.9  -278.5       90  0.3658E+13  0.2240   212.9  0.3109   338.1      0.6917E-01	2
