 200.0     0.00    0.3252E+12    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
      62  158.5584 143.8529  31.7520   272.0   132.5  -339.4      785  0.2553E+15  0.7559  1012.2  1.2080   402.5      0.4433E-01	3
      63    9.3396 134.6994 151.3510   -83.7   213.8   256.9      768  0.2497E+15  0.6948  1032.0  1.1372   472.1      0.1021E-01	3
      64  160.0206 121.9210 187.0300   296.2    35.2    11.9      738  0.2400E+15  0.9149   930.2  1.3014   302.4      0.7209E-02	3
      65   68.1070  31.3484 150.6296    40.5  -569.5   234.9      737  0.2396E+15  0.8384   873.2  1.2438   346.0      0.5490E-01	3
      66   63.3877 181.5249 165.3499  -305.1  -228.9   673.3      720  0.2341E+15  0.9908   888.1  1.2427   338.9      0.1073    	3
      67  134.6463  49.6524 115.6880  -190.2  -321.0   114.1      719  0.2338E+15  1.1363   833.4  1.2750   313.3      0.5850E-01	3
      68  138.2464 132.8664 196.7170   251.0   110.3   -71.1      716  0.2328E+15  0.5711  1163.8  1.0222   606.2      0.7955E-01	3
      69   63.4468 179.8360   8.6049  -108.1   442.1  -168.9      712  0.2315E+15  0.7195   978.7  1.1637   408.3      0.4700E-02	3
      70  124.9738  45.7885  61.1921    -9.5  -254.0   138.1      707  0.2299E+15  0.9802   933.2  1.1343   437.9      0.3337E-01	3
      71  166.4482  91.5462 179.7534   173.2   137.4   -73.3      705  0.2292E+15  0.7788   927.2  1.2048   364.2      0.7990E-01	3
      72   83.5566 187.6894   7.8834  -192.9  -273.1  -121.6      694  0.2257E+15  0.7162  1032.1  1.1511   411.2      0.3029E-01	3
      73  149.6749   2.5886  16.3738   -98.5  -357.7  -112.0      687  0.2234E+15  0.7837   960.9  1.1661   391.5      0.7935E-01	3
      74   22.1096 138.6955  77.0404   187.1    28.8  -217.5      685  0.2227E+15  1.0120   906.6  1.1995   358.6      0.5387E-01	3
      75   46.1026  30.3204  32.4472   159.1   165.5  -190.5      684  0.2224E+15  0.7166   974.1  1.1714   384.5      0.3583E-01	3
      76   64.7927  31.2798  62.7967   440.4  -457.0  -714.2      681  0.2214E+15  0.7054   981.6  1.1419   413.4      0.5547E-01	3
      77  173.8687   9.4598  40.6758  -187.9    -2.4   -95.8      679  0.2208E+15  0.8167   926.1  1.1831   370.5      0.2778E-01	3
      78  117.6410 164.9669 177.3694  -286.3   193.5   561.8      678  0.2205E+15  0.7828   886.8  1.2022   352.5      0.2265E-01	3
      79   95.5302 194.8049  58.2989    78.2   -20.9  -335.6      669  0.2175E+15  0.6621  1042.3  1.1368   411.5      0.5827E-01	3
      80  162.6879  52.2049  72.7212  -139.2  -171.4    75.7      667  0.2169E+15  0.6601   997.2  1.0947   459.6      0.3271E-01	3
      81   64.9583 197.4552  43.5471    -9.3   -87.2    37.7      667  0.2169E+15  0.7565  1038.0  1.1166   433.1      0.2079E-01	3
      82  141.1996 157.7162  25.7255    -7.3   479.2  -353.4      658  0.2140E+15  0.9025   888.3  1.1712   370.1      0.1295    	3
      83   36.6318 174.6634 126.3063    83.2  -361.9   442.4      653  0.2123E+15  0.7840   924.8  1.1659   372.2      0.4379E-01	3
      84  158.4997  44.8576 151.7437  -205.7    27.9    90.5      653  0.2123E+15  0.6971   915.7  1.1307   408.2      0.3385E-01	3
      85   66.5115 193.1142 192.9537    80.6  -782.7   216.7      638  0.2075E+15  0.8045   850.7  1.1884   343.3      0.3754E-01	3
      86   27.1541  70.3111 154.8531  -410.7   259.6   157.6      635  0.2065E+15  0.6697  1041.8  1.0694   469.4      0.4716E-01	3
      87  181.9903 196.0753  55.6936   383.2   -90.4  -333.4      623  0.2026E+15  1.0532   804.1  1.2691   275.1      0.2672E-01	2
      88   10.2951  16.0439  43.1390   151.2  -288.2  -268.2      620  0.2016E+15  0.7016   931.2  1.1323   385.9      0.7090E-01	3
      89   41.8471 103.3633  99.4959   344.9   414.4   162.8      619  0.2013E+15  0.8044   926.1  1.2036   320.6      0.6404E-01	2
      90   28.1283  27.3922  35.1463   192.4  -251.4  -661.1      616  0.2003E+15  0.7511   918.8  1.1218   394.3      0.6505E-01	3
      91   11.8002 196.9549  43.7913     6.5    85.9    66.5      608  0.1977E+15  0.7045   928.7  1.0686   450.4      0.5938E-01	3
      92  104.9383 161.4297  19.8919  -313.1   240.2  -307.6      607  0.1974E+15  0.7090   904.9  1.0858   428.6      0.4562E-01	3
      93   67.1177  14.8468  50.4163   389.2   356.8  -916.5      603  0.1961E+15  0.5972   983.2  0.9873   566.6      0.4419E-01	3
      94   15.9207 151.1271 134.0027   211.5   -85.4   654.2      600  0.1951E+15  0.8537   811.9  1.1996   313.9      0.1759E-01	2
      95   58.6060 144.8648 191.6924  -270.8   288.5   112.2      597  0.1941E+15  0.9084   878.4  1.1725   334.6      0.4671E-01	3
      96  171.8428 119.0187  35.8256   225.2   500.8  -523.9      594  0.1932E+15  0.9531   826.8  1.1057   397.1      0.7721E-01	3
      97  128.8761 174.3983 101.8962   209.3   397.9  -103.0      592  0.1925E+15  0.7707   845.9  1.1590   343.5      0.3216E-01	3
      98   38.5891 128.1489 114.1245  -439.9    -2.2    60.3      589  0.1915E+15  1.1209   790.6  1.1585   342.2      0.7432E-01	3
      99  166.1555  67.0612 140.1871  -170.0    75.2   -90.6      589  0.1915E+15  0.7612   869.8  1.1265   372.3      0.4002E-01	3
     100  191.7577  80.6351  30.6321    89.9    18.5  -280.0      587  0.1909E+15  0.6992   905.4  1.0618   443.2      0.6047E-02	3
     101    0.1577 191.5458 167.4090   377.4   -19.4   289.7      586  0.1905E+15  0.7541   846.2  1.1438   353.8      0.3739E-01	3
     102  127.7096   0.7559  13.6454   107.2  -199.7  -319.9      581  0.1889E+15  0.9365   863.8  1.1395   354.7      0.1282    	2
     103  164.8999 102.0816 178.2516   494.9    45.4   221.1      579  0.1883E+15  0.7029   910.5  1.1206   371.7      0.4601E-01	3
     104   48.4797 111.4972 194.0855    34.4   274.9    98.6      570  0.1853E+15  0.8134   855.8  1.1833   310.7      0.1809E-01	3
     105  160.9420 159.8508  79.7175   208.1   265.8  -195.3      570  0.1853E+15  0.7730   833.4  1.1628   327.5      0.5411E-01	3
     106  197.6961   8.7783  52.0967    94.9  -774.3  -404.0      562  0.1827E+15  0.7920   874.0  1.1631   322.6      0.4657E-01	2
     107   62.4063  44.5052  16.6269    64.1  -448.4   271.4      553  0.1798E+15  0.7729   855.6  1.0991   376.4      0.3501E-01	3
     108   94.3613  27.4167 105.4527   288.5   115.6  -157.8      552  0.1795E+15  0.8104   770.2  1.1510   327.0      0.1030    	3
     109   22.2054 184.0242  43.6930    -4.1    72.8  -318.6      549  0.1785E+15  0.6663   936.0  1.1070   365.6      0.2477E-01	3
     110  136.3682 158.8986  24.8346   403.4   635.9  -140.0      545  0.1772E+15  0.8580   784.4  1.1352   336.5      0.5865E-01	3
     111  127.8441  27.5113  93.4628  -192.8   142.8   117.4      541  0.1759E+15  0.7038   997.7  1.0607   409.7      0.4622E-01	2
     112   67.7832 101.6495  44.3546  -203.9   313.1   126.9      541  0.1759E+15  0.6357   966.7  1.0153   467.3      0.3517E-01	3
     113   34.4967 170.0400 178.3048   555.3    60.0   222.1      540  0.1756E+15  0.7766   853.9  1.1314   336.8      0.8753E-01	3
     114  164.1872  79.5163 134.7374   -11.8  -398.2     1.6      540  0.1756E+15  0.7787   875.4  1.0751   392.7      0.7108E-01	3
     115  128.0955  36.5836 124.7359     8.1   175.0  -183.1      540  0.1756E+15  0.6235   979.6  1.0262   451.6      0.3529E-01	3
     116   99.3860  31.5221  99.7749   -89.8  -129.5   -41.1      534  0.1736E+15  0.6998   854.7  1.1364   328.6      0.2770E-01	3
     117  131.5077   3.3991  12.8057     4.3  -656.1  -181.8      531  0.1727E+15  0.6885   910.0  1.1007   359.8      0.1300E-01	3
     118  158.3742  11.4080 102.6565  -526.5  -699.8   172.2      530  0.1723E+15  0.9492   831.6  1.1493   315.3      0.2157    	3
     119   29.4824 121.7336 124.6217  -110.3   172.6   114.6      527  0.1714E+15  0.6407   871.5  1.0386   425.2      0.3336E-01	3
     120  167.8355 175.0990  25.9656  -129.4    49.3   284.0      524  0.1704E+15  0.8698   802.6  1.1178   338.9      0.4665E-01	2
     121  139.2158  12.9719  10.8413    10.8  -659.4    -6.2      522  0.1697E+15  0.9894   821.7  1.1578   303.7      0.5699E-01	3
     122   47.5805  89.1144  62.5336   105.4   197.9  -360.2      521  0.1694E+15  0.6250   869.9  1.0162   448.8      0.2885E-01	3
     123   68.4665  16.1908  39.1108  -626.2    44.4   322.7      520  0.1691E+15  0.7761   821.5  1.0821   370.8      0.7408E-01	2
     124  138.2788  93.2367 122.4733   -83.9  -470.6    45.1      516  0.1678E+15  1.0291   732.7  1.1065   344.1      0.3642E-01	3
     125  120.4249  28.2692  87.2652   -77.6   114.8   124.6      516  0.1678E+15  0.6090   887.6  1.0068   457.1      0.3068E-01	3
     126   59.3217  38.5634  37.6300   122.6 -1027.1   -93.1      514  0.1671E+15  0.6670   880.8  1.0572   393.1      0.3172E-01	3
     127   49.6594 105.8523  76.8310    44.3    75.3   -87.8      510  0.1658E+15  0.6955   851.9  1.0888   357.0      0.2291E-01	3
     128   43.0191 134.4023  77.7838  -220.0    78.1  -207.5      507  0.1649E+15  1.0531   723.5  1.1642   290.1      0.8401E-02	3
     129   79.6460  12.9093 179.0267    -3.9  -405.4     9.2      504  0.1639E+15  0.7487   846.4  1.0696   372.2      0.1414E-01	3
     130   11.8574 113.9432 141.2408    38.3   110.2   261.4      504  0.1639E+15  0.7492   794.6  1.1012   340.9      0.3505E-01	3
     131  162.8157 157.2299  64.2702    59.4   161.1  -301.7      502  0.1632E+15  0.6657   876.3  1.0231   423.7      0.4245E-01	3
     132   12.7166   7.8608  48.0318  -298.4   -97.8  -218.0      492  0.1600E+15  0.7447   841.7  1.1050   329.4      0.6757E-01	3
     133  194.6216 116.9144 160.8293  -195.2   123.7    84.3      491  0.1597E+15  0.6489   881.9  1.0225   415.1      0.2783E-01	3
     134   60.1157 178.3325 158.4273  -586.5   -24.3   869.6      487  0.1584E+15  0.6946   820.1  1.0369   394.7      0.3238E-01	3
     135   42.3699 170.4905 165.4695   573.5   292.9  -135.3      487  0.1584E+15  0.9741   801.4  1.0891   340.5      0.1793    	2
     136  170.2581  15.1485  38.3414   -58.4  -607.8   220.9      486  0.1580E+15  0.8795   700.1  1.0596   369.1      0.6790E-01	3
     137  161.8646 169.7508  60.5732   -30.0    15.3  -341.4      483  0.1571E+15  0.6564   826.6  1.0705   355.7      0.4205E-01	3
     138   49.7603  16.7222  57.0469   309.5   129.5  -573.5      477  0.1551E+15  0.6931   781.6  1.0342   389.6      0.5228E-01	3
     139   38.4545 174.1987 182.6454   428.6   179.8   -62.0      476  0.1548E+15  0.8732   750.3  1.0934   328.9      0.2802E-01	3
     140   57.2030  36.8055  27.7024  -119.9  -738.4   290.3      476  0.1548E+15  0.7381   797.2  1.0792   342.1      0.3789E-01	3
     141  178.0058  71.2900  36.1055   310.2   -90.6  -410.5      475  0.1545E+15  0.6571   840.0  1.0067   420.8      0.1405E-01	3
     142  122.5108  81.2509 133.4756   353.0  -209.6  -420.6      474  0.1541E+15  0.8233   765.9  1.0357   385.6      0.8873E-01	3
     143   49.4316 104.3379 196.9860  -171.9   418.0    54.9      473  0.1538E+15  0.6753   849.5  1.0362   384.1      0.6046E-01	3
     144  186.1173 131.8052  63.4158   253.9   440.0  -454.9      467  0.1519E+15  0.7133   867.2  0.9907   434.1      0.3744E-01	3
     145  132.8851 165.4155 163.5005  -207.5   479.4   424.1      466  0.1515E+15  0.7892   770.6  1.0677   345.8      0.1185    	2
     146  136.3694   1.7100   0.7529  -343.3  -273.7    32.9      459  0.1493E+15  0.7011   800.0  1.0809   328.3      0.1670E-01	2
     147   61.2091  32.0133  35.0639  -592.0  -254.7   268.7      450  0.1463E+15  0.8476   802.7  1.0232   379.6      0.7455E-01	2
     148    9.1686 146.5639 158.0661   221.5  -221.9   132.9      448  0.1457E+15  0.9586   715.3  1.0780   323.0      0.8402E-01	3
     149   23.8446  79.2828 148.0706  -399.2   134.0    69.3      446  0.1450E+15  0.6752   796.2  1.0222   377.4      0.3492E-01	3
     150   88.5615  11.2489  98.6009    48.1   346.3  -110.8      446  0.1450E+15  0.6907   801.0  1.0493   348.7      0.4065E-01	3
     151    3.2292 146.7721 143.2338   204.2  -201.5   215.3      442  0.1437E+15  0.7141   755.3  1.0444   350.5      0.8707E-01	3
     152  183.6971 121.6683 198.5368  -102.2  -178.4  -310.6      441  0.1434E+15  0.6670   826.9  1.0413   352.9      0.8681E-01	3
     153  191.2578 121.4392 188.7805  -189.6   -35.4   228.7      440  0.1431E+15  0.9202   752.8  1.0321   361.6      0.1592    	3
     154  103.0512 194.3223  62.0239   -51.7   139.1  -427.6      439  0.1427E+15  0.7148   826.2  1.0077   387.7      0.1360    	3
     155   11.0542  89.5452 191.7993  -352.7   -34.5  -140.3      438  0.1424E+15  0.8314   718.6  1.0329   359.1      0.3657E-01	3
     156  146.9377 178.8699  22.1809  -141.9  -432.7  -339.9      437  0.1421E+15  0.7615   774.5  1.0681   323.9      0.4459E-01	2
     157  122.8938 177.3621   5.7839  -144.1    29.2   302.8      436  0.1418E+15  0.7284   827.0  1.0452   344.9      0.4216E-01	3
     158   39.8207  96.0179 135.9046  -461.5    71.9    57.8      436  0.1418E+15  0.6565   795.1  1.0295   361.1      0.1445E-01	3
     159   28.2944 151.3473  17.4610    97.8   133.0   -84.2      434  0.1411E+15  0.7674   728.9  1.0667   323.0      0.5541E-01	3
     160   79.6688 123.8755  88.1385  -277.7   -54.0  -139.0      434  0.1411E+15  0.6608   798.8  0.9828   413.2      0.4235E-01	3
     161   51.1644 173.6373 199.2702   223.1   293.7  -287.1      431  0.1401E+15  0.7519   773.5  1.0627   324.4      0.2973E-01	3
     162    6.3310 131.9740 135.5684   270.3   150.9   483.3      430  0.1398E+15  0.6305   842.0  0.9607   438.3      0.1152    	3
     163  165.2540  68.6132 125.9064  -640.9   353.4   405.7      425  0.1382E+15  0.7363   717.8  1.0230   358.7      0.1693E-01	3
     164  186.5470 120.1041 194.5234  -186.9   -87.7   -18.6      423  0.1375E+15  0.8078   732.6  1.0464   333.4      0.3676E-01	3
     165  152.3933  34.5573 152.4386  -158.8  -108.2   200.3      422  0.1372E+15  0.6092   805.5  1.0053   375.3      0.3632E-01	3
     166    6.7771 131.1695  24.4943   212.1    86.9    29.1      419  0.1362E+15  0.7588   752.8  1.1003   284.0      0.1968E-01	3
     167   74.1229  43.7212  69.4826   162.7  -324.2  -214.8      417  0.1356E+15  0.7610   738.3  1.0254   349.4      0.7142E-02	3
     168  130.0903  97.2675 113.8098   282.0  -605.6   273.2      415  0.1349E+15  0.7316   772.3  1.0084   365.7      0.1377E-01	3
     169  164.1274  12.5897  41.2651   514.8  -412.3  -417.8      415  0.1349E+15  0.6887   746.2  1.0677   307.9      0.3132E-01	2
     170  150.1912   0.3437 143.4303  -178.6    89.5   -93.1      413  0.1343E+15  0.8894   702.8  1.0878   289.7      0.6158E-01	3
     171   64.1705 195.1526   9.7546   -47.0  -501.5   130.7      413  0.1343E+15  0.5393   881.0  0.9076   499.6      0.2523E-01	3
     172  116.6544  34.4431  89.3615   196.5   -79.2   225.5      412  0.1340E+15  0.9483   671.9  1.0895   287.6      0.1610    	3
     173   17.7296 130.5065  65.4971   -20.3   474.8  -102.6      406  0.1320E+15  1.2785   585.0  1.0758   294.5      0.4524E-01	3
     174  146.6411 125.9389 169.6755   430.1   139.6   168.2      404  0.1314E+15  0.5833   872.7  0.9162   474.8      0.1313E-01	3
     175  140.6148  54.3428 106.0443  -404.5   115.4   319.7      403  0.1310E+15  0.8053   750.6  1.0018   362.2      0.2661E-01	3
     176   26.9115 185.3329   4.3565   476.7  -261.4   -20.8      402  0.1307E+15  0.6740   786.3  1.0061   356.6      0.2766E-01	3
     177   35.6547 180.2806 109.5143   205.1  -231.0   249.9      401  0.1304E+15  1.6329   586.4  1.0437   318.6      0.1868    	3
     178  162.6629   1.0710  34.4910    73.8   -26.6   -75.5      397  0.1291E+15  0.6194   805.7  0.9796   381.6      0.9476E-01	3
     179    9.2816 194.3722 182.3458   194.3  -209.4    35.8      395  0.1284E+15  0.6834   829.5  0.9697   391.5      0.1265    	3
     180   40.8376  20.0283  28.7758   129.7   403.5   193.8      393  0.1278E+15  0.7282   803.6  0.9913   364.6      0.1521    	3
     181   96.3803 169.5217 169.9023   -58.1   158.0   964.0      392  0.1275E+15  0.8042   705.8  1.0106   343.1      0.7583E-01	3
     182   49.4242 152.9633   1.0461   -76.4   242.6  -125.5      390  0.1268E+15  0.7742   697.0  1.0533   301.3      0.2136E-01	3
     183  166.1495  74.4622 127.8401  -483.7  -379.1   293.1      388  0.1262E+15  0.8392   703.9  0.9751   378.2      0.6838E-01	3
     184    8.1341 132.7739 162.7803   122.1   400.2  -122.5      384  0.1249E+15  0.9828   634.8  1.0397   308.6      0.2334E-01	3
     185   73.0249  65.1629  99.7623   298.6    47.5  -142.1      383  0.1245E+15  0.8787   713.8  1.0066   339.2      0.5276E-01	3
     186  170.6730 181.4415  25.8909  -169.9  -217.5   284.2      380  0.1236E+15  0.5611   810.6  0.8976   475.1      0.4019E-01	3
     187   28.3882 147.8026  76.2275   -53.7  -275.1  -123.5      378  0.1229E+15  0.6455   786.0  0.9902   351.8      0.4181E-01	3
     188  125.9871  83.4259  96.3172   -99.5  -220.9   481.3      377  0.1226E+15  0.6530   726.5  0.9912   349.8      0.3003E-01	3
     189   91.7326 155.3251  70.7119  -120.7   195.3  -258.7      376  0.1223E+15  0.5559   795.9  0.9314   420.6      0.2863E-01	3
     190  152.2254  13.8513 158.6671  -319.4   312.3    44.3      374  0.1216E+15  0.7555   695.9  1.0796   268.3      0.4405E-01	2
     191   40.6092 170.8746 152.4233   659.1  -478.9   659.2      374  0.1216E+15  0.5866   780.9  0.9576   384.9      0.4849E-01	2
     192  147.2168 130.6957  34.3390   277.7   472.1  -174.9      371  0.1206E+15  0.6217   741.6  0.9624   376.1      0.4643E-01	3
     193  112.4564  60.0654  20.9240  -195.2  -284.2  -124.4      367  0.1193E+15  0.6280   759.5  0.9815   350.7      0.2792E-01	3
     194    4.6772 159.9322 194.3143   351.6  -194.5    -4.5      365  0.1187E+15  0.7471   677.3  0.9514   382.9      0.4330E-01	3
     195  143.1316  62.2293 103.9850  -292.8  -357.6   333.8      363  0.1180E+15  0.8642   660.3  0.9738   355.2      0.6076E-01	3
     196  170.1529 104.0180 178.2484    -8.3    91.8   138.1      362  0.1177E+15  0.6684   770.1  0.9162   425.4      0.6868E-01	3
     197   14.1242 150.1727 162.9620    89.4  -150.6  -108.2      360  0.1171E+15  0.5617   843.6  0.9359   396.9      0.5502E-02	3
