 200.0     0.00    0.3252E+12    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
objects with more than   20 particles found at linking lenght 0.20000	#
      #      x     y    z h^-1 Mpc         velocity[km/s]      lkl   mass h^-1 M_s  sigma  sigma_v  r_sph  delta  spin p.	WebID
       1  181.7417  67.4797 166.8542   -11.3     9.4   128.2     4579  0.1489E+16  2.1872  1679.5  2.3476   319.6      0.6004E-01	3
       2  141.9693 169.1962  18.7245  -157.1    17.9   162.9     3774  0.1227E+16  1.6207  1644.5  2.1394   348.2      0.1282E-01	3
       3  161.2413  16.9102 163.8115  -356.2   165.1    95.7     3569  0.1161E+16  2.9439  1423.1  1.9992   403.7      0.1544E-01	3
       4   69.2933 180.0031 183.2239  -417.4   125.6   420.7     3475  0.1130E+16  1.3002  1593.2  1.9590   417.8      0.4301E-01	3
       5   27.4378 159.9873 140.7197    82.5  -146.1   307.3     3426  0.1114E+16  1.3236  1858.1  1.9261   433.4      0.8041E-01	3
       6  143.0545  16.6410 155.5127   158.8    24.1   125.9     2998  0.9749E+15  3.1103  1193.8  2.0569   311.1      0.7499E-01	3
       7   68.0761  21.6579  47.9668  -281.9  -265.8  -273.0     2796  0.9092E+15  1.6350  1346.4  2.0520   292.2      0.2301E-01	3
       8  106.6826 190.9547  19.2177   -91.4  -330.8  -223.0     2731  0.8880E+15  1.2586  1531.7  1.8712   376.6      0.5384E-01	3
       9   45.7470 172.2549 157.6600   -58.4  -254.9   907.6     2275  0.7398E+15  1.3647  1375.6  1.8018   351.4      0.5074E-01	3
      10   13.0882  37.9225   8.0966    89.6   -44.5   318.5     2209  0.7183E+15  1.2079  1352.9  1.7708   359.4      0.3979E-02	3
      11  133.9666  81.7357 124.1853    58.7  -106.4    28.5     2146  0.6978E+15  1.3442  1311.5  1.7479   363.1      0.5059E-02	3
      12  126.8718  44.3196 102.9973   -45.7  -141.7   133.0     2021  0.6572E+15  1.1607  1273.8  1.7828   322.1      0.2845E-01	3
      13  156.5006 189.2362 103.7009    90.7   162.4   -94.2     1908  0.6204E+15  1.0257  1369.3  1.5851   433.0      0.1823E-01	3
      14  133.7823   2.6937 192.9715   107.7  -170.4   317.0     1808  0.5879E+15  1.0293  1317.3  1.6128   389.5      0.7438E-01	3
      15  164.6384 139.3231  30.4739    -6.5   286.8  -275.4     1741  0.5661E+15  1.0655  1251.7  1.6470   352.1      0.5581E-01	3
      16  105.2082 168.9026 188.9622  -115.8     0.1   244.7     1699  0.5525E+15  1.2628  1160.4  1.6597   335.7      0.4766E-01	3
      17  113.7750 160.2332 183.0169  -278.2   524.8   298.4     1680  0.5463E+15  1.3791  1178.3  1.6835   318.0      0.1239    	3
      18   47.2785 172.9300 161.7280  -371.2   -24.8   -23.2     1676  0.5450E+15  1.8331  1167.4  1.7777   269.3      0.1134    	3
      19   16.0727 138.2319 175.0912    87.4   170.9   -20.4     1655  0.5382E+15  0.8533  1531.4  1.3851   563.2      0.4828E-01	3
      20   80.7558 164.9592  29.1706   212.1   480.5  -502.4     1650  0.5365E+15  1.0903  1273.4  1.5587   393.7      0.4173E-01	3
      21   49.7510 180.7549 186.7645   193.5  -448.4  -145.1     1642  0.5339E+15  0.8631  1486.4  1.4007   540.3      0.4578E-01	3
      22  129.0356 170.7433 164.2823  -126.4    -6.1   390.9     1629  0.5297E+15  0.9878  1288.7  1.5404   402.8      0.2682E-01	3
      23   29.9489  28.9701  27.7678   256.5  -102.6   197.3     1602  0.5209E+15  0.9608  1300.6  1.6097   346.9      0.1787E-01	3
      24  151.2975 194.2727 139.0748   -80.0   346.0    49.9     1586  0.5157E+15  1.0379  1242.8  1.5629   375.4      0.3692E-01	3
      25  189.0293 196.6824  55.2117  -148.3    24.7  -427.8     1413  0.4595E+15  0.9451  1214.3  1.4732   399.4      0.3773E-01	3
      26  156.1515  10.0867 105.6967    17.5  -123.8  -323.3     1359  0.4419E+15  1.0804  1146.9  1.4487   404.0      0.4939E-01	3
      27  157.3700  66.2850 126.2208     7.8   225.5   392.1     1247  0.4055E+15  1.3414   978.2  1.5663   293.0      0.4711E-01	3
      28  197.4938 150.8958 151.0992   455.8  -573.0   127.7     1244  0.4045E+15  0.8680  1236.8  1.3367   470.9      0.4837E-01	3
      29  174.8533 119.3484 161.1693  -143.1   324.8   158.2     1235  0.4016E+15  0.9387  1124.3  1.3997   407.0      0.5893E-01	3
      30  165.1721  10.0734  91.0947  -322.4  -329.6   -52.7     1213  0.3944E+15  0.8659  1260.4  1.3863   411.5      0.6159E-01	3
      31   44.0800 105.9594 102.0908  -219.4   106.9  -236.2     1168  0.3798E+15  0.8864  1066.7  1.3826   399.4      0.3902E-01	3
      32   87.6261 167.7773  25.9873  -173.8   371.8    -6.5     1154  0.3752E+15  1.1425  1018.5  1.4620   333.6      0.6861E-01	3
      33   61.8153 193.6373  46.2702   386.2    87.8  -647.2     1146  0.3726E+15  1.0326  1072.9  1.4314   353.0      0.4615E-01	3
      34   14.0854 116.4486  38.8105    30.4   457.4  -320.0     1145  0.3723E+15  0.9766  1064.5  1.3890   386.1      0.4338E-01	3
      35   75.9941   2.9634 166.8702  -175.7  -293.8   265.9     1128  0.3668E+15  1.0034  1040.5  1.4737   318.3      0.2153E-01	3
      36  170.8132 122.6873 160.3201   143.5   -18.2   483.3     1101  0.3580E+15  1.0492  1023.5  1.5127   287.2      0.1956E-01	3
      37  182.5405  68.8837 177.1415  -159.9   -69.6  -537.4     1062  0.3453E+15  1.0990  1026.1  1.3698   373.4      0.4105E-01	3
      38  197.7034   4.4367  53.1389   -28.4  -147.0  -457.5     1060  0.3447E+15  0.8913  1126.2  1.3302   407.0      0.7441E-01	3
      39   87.4262  98.0541  10.4669  -184.5   132.3   -68.4     1025  0.3333E+15  1.3934   920.8  1.3657   363.6      0.5666E-01	3
      40   86.7697  48.7476 140.9158   369.4  -385.0  -116.4      999  0.3248E+15  1.2644   902.2  1.4464   298.1      0.3110E-01	3
      41  162.0473   8.4830 122.2391  -390.6  -263.0   -35.5      983  0.3196E+15  0.8198  1076.7  1.2390   467.2      0.7375E-01	3
      42  167.8646 132.3910  19.8628    90.1   221.5    63.5      966  0.3141E+15  1.0283   983.3  1.4063   313.7      0.4016E-01	3
      43  166.9488 126.5141 159.7113   462.3  -490.0   283.5      966  0.3141E+15  1.3571   968.5  1.3683   340.6      0.5940E-01	3
      44   56.2598 180.9635  44.1497    69.9   429.0  -372.4      966  0.3141E+15  1.1927  1034.0  1.3292   371.7      0.1666E-01	3
      45   95.3655  40.1190 137.9529    23.2  -233.0   -85.7      937  0.3047E+15  1.1776   953.0  1.3998   308.5      0.8322E-01	3
      46   59.5885 187.3830  15.9277   303.1  -181.3  -272.0      933  0.3034E+15  0.8030  1053.7  1.2524   429.3      0.8289E-02	3
      47   11.5548   4.2957  54.1692  -313.8  -108.4  -771.6      927  0.3014E+15  0.7979  1087.6  1.2191   462.6      0.7519E-01	3
      48   66.0484  28.8491 151.1156   484.8    90.7   343.7      919  0.2988E+15  0.8112  1095.6  1.2144   463.9      0.3776E-01	3
      49   93.0467  35.9853 139.4301   250.6   214.4  -276.8      912  0.2966E+15  0.9702   932.7  1.3564   330.1      0.5139E-01	3
      50   13.0354  24.6959  37.0343   245.2  -384.6    48.0      910  0.2959E+15  1.5921   826.9  1.3760   315.5      0.6267E-01	3
      51   23.4595  78.8219 115.4247   -92.4   157.4    84.5      900  0.2927E+15  0.9113  1009.6  1.3543   327.2      0.1519E-01	3
      52   36.7980 179.3957 188.5197   559.7  -319.2  -160.2      888  0.2887E+15  1.6722   808.8  1.3725   310.2      0.9340E-01	3
      53   69.1586  50.0021   3.8321  -119.3  -293.5   245.1      851  0.2767E+15  0.8310   998.3  1.2629   381.8      0.5723E-01	3
      54  133.4234 199.1014   5.9455    25.7   -84.0    71.8      848  0.2757E+15  1.4881   838.0  1.3863   287.4      0.1122    	3
      55  168.9085 167.4311  34.8514   -79.7   -45.3  -179.5      843  0.2741E+15  0.8508   988.5  1.2942   351.3      0.4793E-01	3
      56  130.9231  43.2161 117.2742   -89.7    65.5    40.4      841  0.2735E+15  0.8146   979.5  1.2770   364.8      0.2627E-01	3
      57  168.1369  12.8382  39.1889   275.6  -174.7  -161.2      829  0.2696E+15  0.8741   959.7  1.2675   367.8      0.8435E-01	3
      58   60.9081  35.8480  38.6495  -248.0  -515.5  -409.3      828  0.2692E+15  0.8571   909.2  1.3073   334.8      0.2525E-01	3
      59   64.5000 138.1934 173.3613  -383.3   415.0   296.6      795  0.2585E+15  0.8083   979.2  1.2285   387.4      0.1224E-01	3
      60   69.4157 180.8220 189.4583  -123.3   -20.1  -469.2      795  0.2585E+15  0.9539   921.7  1.3241   309.3      0.4571E-01	2
      61   46.7332 177.3191 181.6048   179.6   270.5   342.9      790  0.2569E+15  0.8503   945.8  1.2898   332.5      0.3971E-01	3
